feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,penalizer,n,events,error,fdr_bh,internal_log_hr,internal_fdr_bh,direction_concordant
PLVAP,external_gene,0.0341786538920999,1.0347694558063285,0.7559621032221618,1.41640410558392,0.8310309756285291,0.05,60,33,,0.950704151016686,0.1707213205175861,0.925882196077601,True
KRT15,external_gene,-0.2747098793988302,0.7597925227156608,0.5505592624237419,1.0485423041167847,0.0946148271328772,0.05,60,33,,0.8701829249673787,-0.1598221899329495,0.9540723929676737,True
ITK,external_gene,-0.0114706458918724,0.988594891143328,0.7454810853304988,1.3109921606681774,0.9365143525866562,0.05,60,33,,0.950704151016686,0.1252937232255318,0.9540723929676737,False
HCK,external_gene,-0.1234668950336264,0.8838509006141047,0.6512421272941359,1.1995422006284544,0.4281537113421984,0.05,60,33,,0.950704151016686,0.1152619753692302,0.9540723929676737,False
SLPI,external_gene,-0.2761309743591102,0.758713552232112,0.5571679506893605,1.033164692313057,0.0796271821268055,0.05,60,33,,0.8701829249673787,-0.1140661458531059,0.9540723929676737,True
CD6,external_gene,-0.1098275179383354,0.8959886639414202,0.6808767646125106,1.17906165643412,0.4330110963731255,0.05,60,33,,0.950704151016686,0.1173206261734481,0.9540723929676737,False
CD19,external_gene,0.0778377463977576,1.0809472568544212,0.8439186566461496,1.3845492843405895,0.5376907285880024,0.05,60,33,,0.950704151016686,-0.1316112084280676,0.9540723929676737,False
MGP,external_gene,0.1833576845980835,1.2012439977239775,0.9028403765486464,1.598274932700834,0.2082259955131117,0.05,60,33,,0.950704151016686,-0.0972439391184144,0.9540723929676737,False
DNAAF1,external_gene,-0.0189874740297351,0.9811916525432955,0.7301509526030008,1.3185452345004405,0.8997863402174933,0.05,60,33,,0.950704151016686,0.1214766059223582,0.9540723929676737,False
RAB27B,external_gene,-0.2415261551587527,0.7854282605194871,0.5841542524106704,1.056052489349984,0.1098384976583322,0.05,60,33,,0.8701829249673787,-0.0873399337372766,0.9540723929676737,True
S100B,external_gene,0.099618356119095,1.104749216832378,0.8128873849165151,1.5014021065379148,0.5244882814542182,0.05,60,33,,0.950704151016686,0.1097768638823231,0.9540723929676737,True
KRT6B,external_gene,-0.0815299167748075,0.9217051349964512,0.7010240542968437,1.2118562133091866,0.5593070087030712,0.05,60,33,,0.950704151016686,-0.1194603320306363,0.986490966722809,True
KIT,external_gene,-0.0484634500326765,0.9526921595367924,0.6976861169777706,1.3009035564223437,0.7604339997432956,0.05,60,33,,0.950704151016686,-0.0956488346071959,0.986490966722809,True
MMP19,external_gene,-0.0184334323305319,0.9817354242559068,0.721560989920368,1.335721382811024,0.9065924356055078,0.05,60,33,,0.950704151016686,0.0807410879225024,0.986490966722809,False
NTRK1,external_gene,-0.1310567739453912,0.877167972690757,0.6312467258014646,1.2188952763873924,0.4349522811084897,0.05,60,33,,0.950704151016686,-0.0776489625093105,0.986490966722809,True
LUM,external_gene,0.0881065996240993,1.0921045337561397,0.8350305093517575,1.4283218388949814,0.5199614187415615,0.05,60,33,,0.950704151016686,0.0667578498954329,0.986490966722809,True
COL4A2,external_gene,-0.0896666782498126,0.9142358691895212,0.6176153051266251,1.3533136526488048,0.6541023457834185,0.05,60,33,,0.950704151016686,0.081760712051684,0.986490966722809,False
CD22,external_gene,-0.0103841927164696,0.9896695368724224,0.7428986112911005,1.31841112276556,0.9434282058266312,0.05,60,33,,0.950704151016686,-0.073160028222152,0.986490966722809,True
GPX2,external_gene,-0.0779132792648566,0.9250446436167822,0.6570566300585383,1.302334614001023,0.6552948749767189,0.05,60,33,,0.950704151016686,-0.0839393553604564,0.986490966722809,True
IL1RL1,external_gene,-0.2847933670590293,0.7521696612919514,0.5468978551668274,1.034487873783063,0.0798695788562207,0.05,60,33,,0.8701829249673787,0.0832179095736753,0.986490966722809,False
IGFBP5,external_gene,0.0866605212370357,1.0905264063164597,0.794846086066071,1.4961989040663608,0.5912327637335417,0.05,60,33,,0.950704151016686,0.0611486517298587,0.986490966722809,True
CSF1R,external_gene,0.0198284161940205,1.020026305014985,0.7576589219588471,1.3732480840224783,0.8960145300607834,0.05,60,33,,0.950704151016686,0.0582728042981254,0.986490966722809,True
RARRES2,external_gene,0.0121003996269119,1.012173905647346,0.7619968732855292,1.3444884765157188,0.9334271117189163,0.05,60,33,,0.950704151016686,-0.0538075464341391,0.986490966722809,False
GZMM,external_gene,0.3091937888140566,1.3623263485320414,1.0585983863074702,1.753198478205113,0.016286472027287,0.05,60,33,,0.8701829249673787,0.0615401321508299,0.986490966722809,True
JSRP1,external_gene,0.1365045981908292,1.1462601484865522,0.8381086876497365,1.5677111422063252,0.3928460190064996,0.05,60,33,,0.950704151016686,0.05992694642297,0.986490966722809,True
GNG11,external_gene,-0.0170215971390952,0.9831224517732872,0.7112732531526275,1.3588726286229664,0.917906609005073,0.05,60,33,,0.950704151016686,-0.0476808696806011,0.986490966722809,True
FXYD3,external_gene,-0.1020370237904609,0.902996118710887,0.6351724095071196,1.2837490706494337,0.5697375522251953,0.05,60,33,,0.950704151016686,-0.0546167352261583,0.986490966722809,True
CTLA4,external_gene,0.0214560001829165,1.0216878352705137,0.792946164827986,1.316414756815414,0.8682212221155409,0.05,60,33,,0.950704151016686,0.050727499405361,0.986490966722809,True
KLRD1,external_gene,0.0654786273613537,1.067669918146292,0.7807379262045311,1.4600533877687956,0.6817870626739885,0.05,60,33,,0.950704151016686,-0.0433063887459579,0.986490966722809,False
CD8B,external_gene,0.0457606465103117,1.0468238200338138,0.7675248457597016,1.427758483968706,0.7725826286639514,0.05,60,33,,0.950704151016686,0.044226458961674,0.986490966722809,True
CD24,external_gene,-0.2050036369829264,0.8146443535584216,0.6308714227683468,1.0519503639465155,0.1160243899956505,0.05,60,33,,0.8701829249673787,0.0368864670090418,0.986490966722809,False
BTK,external_gene,-0.0747914381326738,0.9279369984213816,0.6780089693405621,1.269993631318425,0.6404032732121019,0.05,60,33,,0.950704151016686,0.0299930441238967,0.986490966722809,False
S100A7,external_gene,-0.0702150026758687,0.9321933742886492,0.6927843153875922,1.254336259881239,0.6429044142146221,0.05,60,33,,0.950704151016686,-0.0374964097750898,0.986490966722809,True
RGS5,external_gene,0.1586085255691073,1.171879096170208,0.8560782314783036,1.6041765408159532,0.3221663710378103,0.05,60,33,,0.950704151016686,-0.0353437079981258,0.986490966722809,False
COL1A2,external_gene,0.0966299867194142,1.1014527460678745,0.8236511000991352,1.4729515345447122,0.5146339120996711,0.05,60,33,,0.950704151016686,0.024827020943239,0.986490966722809,True
SLC18A2,external_gene,0.0183707506819683,1.0185405309926336,0.7430940339531812,1.3960882013219331,0.9090833809316614,0.05,60,33,,0.950704151016686,-0.0295769478047808,0.986490966722809,False
COL15A1,external_gene,0.079205422814557,1.0824266543633612,0.7812283714451982,1.4997502713692064,0.6340319516532565,0.05,60,33,,0.950704151016686,-0.0269444733749535,0.986490966722809,False
CTHRC1,external_gene,0.1642314637851574,1.1784870606019564,0.8993461145602953,1.5442683628930352,0.2337435157012961,0.05,60,33,,0.950704151016686,0.020575188203324,0.986490966722809,True
SPIB,external_gene,0.0307972587892764,1.0312764004642776,0.7489286452244799,1.4200698837414345,0.8503408815203793,0.05,60,33,,0.950704151016686,0.023420087567654,0.986490966722809,True
OLR1,external_gene,-0.0763442071180705,0.926497244721558,0.6632966976697643,1.2941375217037625,0.6543359699061624,0.05,60,33,,0.950704151016686,0.0181767231875516,0.986490966722809,False
FPR1,external_gene,-0.227817631979145,0.7962694606806675,0.626467326558199,1.0120959659558209,0.0626440273570379,0.05,60,33,,0.8701829249673787,-0.0132357187436637,0.986490966722809,True
BGN,external_gene,0.2467128582650059,1.2798115726972972,0.8933011988416576,1.833555875368593,0.1786600861996817,0.05,60,33,,0.950704151016686,0.0099765547079604,0.986490966722809,True
