feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
GZMK,gene,-0.08179625337253,0.9214596838744522,0.7225364696397912,1.1751489159146586,0.5097511948666029,182,77,,0.986490966722809,50,-0.0771775428833916,-0.1189626526043503,-0.0436844982550988,0.88,GZMK,CD8Tex,2,1.0190994308670906,1.0,True,Evidence at protein level
LUM,gene,0.0667578498954329,1.0690365795101815,0.8737314626042822,1.307998232001892,0.5166149533775879,182,77,,0.986490966722809,50,0.0572269145510023,0.0185695512122386,0.1062332276708304,0.84,LUM,Pericytes,8,1.0376998242383662,1.0,True,Evidence at protein level
COL4A2,gene,0.081760712051684,1.085196104409255,0.843766646661404,1.3957064902775227,0.524245582546714,182,77,,0.986490966722809,50,0.0848892088200702,0.0469836934128619,0.1282651546183617,0.94,COL4A2,Pericytes,9,1.0299757281553397,1.0,True,Evidence at protein level
CD22,gene,-0.073160028222152,0.9294520795601064,0.7392421554297413,1.1686037678633316,0.5311545750065128,182,77,,0.986490966722809,50,-0.0689686155798792,-0.1237862631009683,-0.0180350275432017,0.84,CD22,B,4,0.9724901657181118,1.0,True,Evidence at protein level
GPX2,gene,-0.0839393553604564,0.9194870163629992,0.6966506758744779,1.213601597671405,0.5533216399483412,182,77,,0.986490966722809,50,-0.06581046664757,-0.1253020809662765,-0.0303155719574177,0.88,GPX2,Malignant,7,1.0273769668563777,1.0,True,Evidence at protein level
IL1RL1,gene,0.0832179095736753,1.086778602209385,0.8244223861528068,1.432624526041521,0.5549652563869905,182,77,,0.986490966722809,50,0.0860632919997914,0.0435112864948426,0.128645402782899,0.88,IL1RL1,Mast,4,1.0436432875795112,1.0,True,Evidence at protein level
IGFBP5,gene,0.0611486517298587,1.0630569276936537,0.8545262320525318,1.3224755298653,0.5830956205719793,182,77,,0.986490966722809,50,0.0566739917171853,0.0139171523411736,0.0986833698366246,0.8,IGFBP5,Endothelial,7,1.0259572731837965,1.0,True,Evidence at protein level
CSF1R,gene,0.0582728042981254,1.060004129952644,0.8555199345822284,1.3133636167874314,0.5940958005625382,182,77,,0.986490966722809,50,0.0607146424210554,0.014484575682966,0.1075206398454896,0.86,CSF1R,Mono/Macro,4,1.0180888014730498,1.0,True,Evidence at protein level
IGLV6-57,gene,0.0569019744833701,1.0585520401988997,0.8488170051050254,1.3201107129923808,0.613511326984978,182,77,,0.986490966722809,50,0.053390183104038,0.0068302068425873,0.0912000797309968,0.8,IGLV6-57,Plasma,7,1.0093781386006024,1.0,True,Evidence at protein level
RARRES2,gene,-0.0538075464341391,0.9476144607359042,0.7654863177423903,1.1730753971464114,0.6212291648098034,182,77,,0.986490966722809,50,-0.0642092572180726,-0.0911891322180437,-0.0166099856131063,0.82,RARRES2,Fibroblasts,6,1.0266310261131568,1.0,True,Evidence at protein level
GZMM,gene,0.0615401321508299,1.06347317513827,0.8326799580886721,1.358235157760619,0.6219954271313732,182,77,,0.986490966722809,50,0.0644512760529655,0.0158972029936636,0.1031704999425223,0.82,GZMM,CD4Tconv,2,0.9856764730498828,1.0,True,Evidence at protein level
JSRP1,gene,0.05992694642297,1.0617589784207624,0.8181833845744126,1.3778477411191814,0.6521942690371288,182,77,,0.986490966722809,50,0.0652910131224993,-0.0109406881628378,0.121197365671408,0.68,JSRP1,Plasma,5,1.0288447857381988,1.0,True,Evidence at protein level
ZAP70,gene,0.0545204370655584,1.0560340584304715,0.8318233338470117,1.340678828288605,0.6543335364246028,182,77,,0.986490966722809,50,0.0458480270145949,0.0038397559084807,0.1121871243102432,0.78,ZAP70,CD4Tconv,10,0.9506413207231336,1.0,True,Evidence at protein level
GNG11,gene,-0.0476808696806011,0.9534380095081234,0.7710344072455707,1.1789928301932269,0.6598601361190131,182,77,,0.986490966722809,50,-0.0597601679693787,-0.0832058172299218,0.001503525584422,0.74,GNG11,Endothelial,10,1.016981921660529,1.0,True,Evidence at protein level
MEF2B,gene,0.0546486378889923,1.0561694515449056,0.8256524612121385,1.3510453402379647,0.6635644310540751,182,77,,0.986490966722809,50,0.0488603372259707,0.0085417324865658,0.1022061323667665,0.8,MEF2B,Plasma,9,0.987144291931704,1.0,True,Evidence at protein level
FXYD3,gene,-0.0546167352261583,0.9468479718940352,0.732835635338954,1.2233590161935637,0.6760952671138549,182,77,,0.986490966722809,50,-0.0439281402293193,-0.1189183196678864,0.011458616752581,0.7,FXYD3,Malignant,9,1.0248503933712754,1.0,True,Evidence at protein level
CTLA4,gene,0.050727499405361,1.05203617373643,0.8232408623874575,1.3444183366217342,0.6851648528767769,182,77,,0.986490966722809,50,0.0428502347583889,0.0084077751584361,0.0888419742239702,0.8,CTLA4,Treg,1,0.9957827669902912,1.0,True,Evidence at protein level
KLRD1,gene,-0.0433063887459579,0.9576179417544152,0.7756581736646075,1.1822632101424675,0.6871159144694045,182,77,,0.986490966722809,50,-0.0379335688353085,-0.0946968714678115,-0.0040491604077728,0.78,KLRD1,CD8Tex,5,1.0055040592567792,1.0,True,Evidence at protein level
CD8B,gene,0.044226458961674,1.045219027304783,0.8212429086389473,1.3302797546837115,0.7192699602920594,182,77,,0.986490966722809,50,0.0474417310327812,-0.0060543438707219,0.09481966098224,0.72,CD8B,CD8Tex,1,1.0196769333779712,1.0,True,Evidence at protein level
TPSAB1,gene,-0.0418457985534101,0.9590176510803704,0.7622543585788129,1.2065721169485677,0.720965830589551,182,77,,0.986490966722809,50,-0.0497664616056728,-0.0713195330154925,0.0077267064009584,0.68,TPSAB1,Mast,1,1.055313650820221,1.0,True,Evidence at protein level
RASSF6,gene,0.0537087974531262,1.0551772870983818,0.7670552527273532,1.4515239981076749,0.7413322482481282,182,77,,0.986490966722809,50,0.0338803342482621,-0.0262502584949745,0.1022603080207027,0.58,RASSF6,Plasma,8,1.0045415550719785,1.0,True,Evidence at protein level
