feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
CD19,gene,-0.13161120842806767,0.8766817753143479,0.6645277942243515,1.1565670267643302,0.3518470097312224,182,77,,0.9540723929676737,50,-0.1416087092491793,-0.20315733045745663,-0.07558107265832749,1.0,CD19,B,2,1.0283154084365582,1.0,True,Evidence at protein level
MGP,gene,-0.09724393911841447,0.9073346447216762,0.7353622708855237,1.11952460726717,0.3644311740937626,182,77,,0.9540723929676737,50,-0.10451842119317378,-0.1283359861619221,-0.08097593965222043,0.98,MGP,Pericytes,5,1.0500198778038163,1.0,True,Evidence at protein level
DNAAF1,gene,0.12147660592235822,1.1291629498904494,0.8635867586301694,1.4764109739567273,0.3745735407281158,182,77,,0.9540723929676737,50,0.12185583968787057,0.08759713843640866,0.17000959243565644,0.94,DNAAF1,Plasma,3,1.0324541764312019,1.0,True,Evidence at protein level
RAB27B,gene,-0.08733993373727666,0.916365539119443,0.753276792001617,1.1147639356501835,0.3824119455167333,182,77,,0.9540723929676737,50,-0.07199556243736444,-0.1350485763102361,-0.018268743442877492,0.86,RAB27B,Mast,10,0.9986540132239704,0.996,True,Evidence at protein level
S100B,gene,0.1097768638823231,1.1160290162915045,0.8717771099347913,1.428714692104898,0.3837030276065644,182,77,,0.9540723929676737,50,0.11766693315000856,0.06472440206367548,0.17368285671532777,0.9,S100B,DC,4,0.9949887010378305,1.0,True,Evidence at protein level
KRT6B,gene,-0.11946033203063634,0.8873992084454911,0.6685602865459594,1.1778703745896968,0.40832172695667357,182,77,,0.986490966722809,50,-0.11818825956195175,-0.17920777709900998,-0.0543215684584466,0.84,KRT6B,Malignant,5,1.0311547957817206,1.0,True,Evidence at protein level
KIT,gene,-0.09564883460719595,0.9087830932129036,0.7108567961521961,1.1618186883491353,0.44534583283014606,182,77,,0.986490966722809,50,-0.08449033646521728,-0.13054142949722708,-0.05303536749029206,0.94,KIT,Mast,5,1.0238157013726146,1.0,True,Evidence at protein level
CSF2RA,gene,0.08332852460337391,1.0868988229057297,0.8721027836331517,1.3545984182190076,0.4582251222379814,182,77,,0.986490966722809,50,0.09045287160812188,0.046823566104656406,0.1387983650547624,0.92,CSF2RA,DC,2,1.0235750753264146,1.0,True,Evidence at protein level
MMP19,gene,0.08074108792250247,1.084090176187669,0.8718362270904212,1.3480186686308937,0.46767555308394604,182,77,,0.986490966722809,50,0.07776858837957887,0.048034260092511216,0.12802285766056537,0.9,MMP19,Mono/Macro,5,1.0139740960830264,1.0,True,Evidence at protein level
NTRK1,gene,-0.07764896250931051,0.925289180731923,0.7482808259712204,1.144169459197772,0.4735193719891483,182,77,,0.986490966722809,50,-0.08257729570548292,-0.11588608147168225,-0.046084947557769464,0.88,NTRK1,Mast,7,1.0130356545028456,1.0,True,Evidence at protein level
IGHV3-7,gene,0.08140395312416095,1.0848090200628975,0.8647985294693488,1.3607916409524075,0.4814923983634951,182,77,,0.986490966722809,50,0.07557293239308824,0.0298713328085893,0.12956477061708083,0.9,IGHV3-7,Plasma,2,1.0366651322397054,1.0,True,Evidence at protein level
GZMK,gene,-0.08179625337253008,0.9214596838744522,0.7225364696397912,1.1751489159146586,0.5097511948666029,182,77,,0.986490966722809,50,-0.07717754288339167,-0.11896265260435031,-0.04368449825509886,0.88,GZMK,CD8Tex,2,1.0190994308670906,1.0,True,Evidence at protein level
LUM,gene,0.06675784989543296,1.0690365795101815,0.8737314626042822,1.3079982320018921,0.5166149533775879,182,77,,0.986490966722809,50,0.057226914551002386,0.01856955121223868,0.10623322767083045,0.84,LUM,Pericytes,8,1.0376998242383662,1.0,True,Evidence at protein level
COL4A2,gene,0.08176071205168409,1.085196104409255,0.843766646661404,1.3957064902775227,0.524245582546714,182,77,,0.986490966722809,50,0.08488920882007027,0.04698369341286193,0.1282651546183617,0.94,COL4A2,Pericytes,9,1.0299757281553397,1.0,True,Evidence at protein level
CD22,gene,-0.07316002822215205,0.9294520795601063,0.7392421554297413,1.1686037678633316,0.5311545750065128,182,77,,0.986490966722809,50,-0.06896861557987921,-0.12378626310096838,-0.018035027543201756,0.84,CD22,B,4,0.9724901657181118,1.0,True,Evidence at protein level
GPX2,gene,-0.08393935536045648,0.9194870163629992,0.6966506758744779,1.213601597671405,0.5533216399483412,182,77,,0.986490966722809,50,-0.06581046664757007,-0.12530208096627657,-0.030315571957417797,0.88,GPX2,Malignant,7,1.0273769668563775,1.0,True,Evidence at protein level
IL1RL1,gene,0.08321790957367532,1.086778602209385,0.8244223861528068,1.432624526041521,0.5549652563869905,182,77,,0.986490966722809,50,0.08606329199979149,0.04351128649484268,0.128645402782899,0.88,IL1RL1,Mast,4,1.0436432875795112,1.0,True,Evidence at protein level
IGFBP5,gene,0.061148651729858755,1.0630569276936537,0.8545262320525318,1.3224755298653,0.5830956205719793,182,77,,0.986490966722809,50,0.056673991717185325,0.013917152341173626,0.0986833698366246,0.8,IGFBP5,Endothelial,7,1.0259572731837965,1.0,True,Evidence at protein level
CSF1R,gene,0.058272804298125445,1.0600041299526441,0.8555199345822284,1.3133636167874314,0.5940958005625382,182,77,,0.986490966722809,50,0.06071464242105541,0.014484575682966067,0.10752063984548967,0.86,CSF1R,Mono/Macro,4,1.0180888014730498,1.0,True,Evidence at protein level
IGLV6-57,gene,0.056901974483370116,1.0585520401988995,0.8488170051050254,1.3201107129923808,0.613511326984978,182,77,,0.986490966722809,50,0.05339018310403805,0.006830206842587321,0.09120007973099682,0.8,IGLV6-57,Plasma,7,1.0093781386006024,1.0,True,Evidence at protein level
RARRES2,gene,-0.0538075464341391,0.9476144607359042,0.7654863177423903,1.1730753971464114,0.6212291648098034,182,77,,0.986490966722809,50,-0.06420925721807265,-0.09118913221804374,-0.01660998561310634,0.82,RARRES2,Fibroblasts,6,1.0266310261131568,1.0,True,Evidence at protein level
GZMM,gene,0.06154013215082993,1.06347317513827,0.8326799580886721,1.358235157760619,0.6219954271313732,182,77,,0.986490966722809,50,0.06445127605296556,0.015897202993663633,0.1031704999425223,0.82,GZMM,CD4Tconv,2,0.9856764730498828,1.0,True,Evidence at protein level
JSRP1,gene,0.05992694642297007,1.0617589784207624,0.8181833845744126,1.3778477411191814,0.6521942690371288,182,77,,0.986490966722809,50,0.06529101312249935,-0.010940688162837817,0.12119736567140806,0.68,JSRP1,Plasma,5,1.0288447857381988,1.0,True,Evidence at protein level
ZAP70,gene,0.054520437065558494,1.0560340584304717,0.8318233338470117,1.340678828288605,0.6543335364246028,182,77,,0.986490966722809,50,0.045848027014594936,0.0038397559084807024,0.11218712431024322,0.78,ZAP70,CD4Tconv,10,0.9506413207231335,1.0,True,Evidence at protein level
