state,gene,donors,baseline_specificity_effect,bootstrap_selection_frequency,bootstrap_effect_mean,bootstrap_effect_sd,bootstrap_effect_ci95_low,bootstrap_effect_ci95_high,hpa_evidence,hpa_weight,prominence_score,stable_marker,state_rank
CD8Tex,CD96,60,0.8391990291262136,1.0,0.6759460510015488,0.014182457523552468,0.6600757837295532,0.6990083456039429,Evidence at protein level,1.15,0.9650788834951456,True,8
CD8Tex,CTLA4,60,0.8286533311014396,1.0,0.6707891397476197,0.02556408201821443,0.5920045971870422,0.704782247543335,Evidence at protein level,1.15,0.9529513307666554,True,9
CD8Tex,ICOS,60,0.852987947773686,0.964,0.6828420314192772,0.06540700929811302,0.49418193101882935,0.7441819310188293,Evidence at protein level,1.15,0.9456224389019082,True,10
DC,CCL19,67,0.8916764312018748,1.0,0.7454520435333252,0.004394189489870153,0.736777126789093,0.754231333732605,Evidence at protein level,1.15,1.0254278958821559,True,1
DC,CSF2RA,67,0.8900652828925344,1.0,0.7613864597082138,0.0052876845004746435,0.7507889866828918,0.7716017365455627,Evidence at protein level,1.15,1.0235750753264146,True,2
DC,CPVL,67,0.8742048878473384,1.0,0.7218980971574783,0.007178408064435788,0.7052097916603088,0.7333436012268066,Evidence at protein level,1.15,1.005335621024439,True,3
DC,S100B,67,0.8652075661198527,1.0,0.7226907612085343,0.01354075568346467,0.6933885812759399,0.7474479675292969,Evidence at protein level,1.15,0.9949887010378305,True,4
DC,CFP,67,0.8466898225644459,1.0,0.6843046550750732,0.007554386276829588,0.6722496747970581,0.70504230260849,Evidence at protein level,1.15,0.9736932959491127,True,5
DC,MS4A7,67,0.840140609306997,0.996,0.6932626937627793,0.022357478470759095,0.6359793543815613,0.7275344133377075,Evidence at protein level,1.15,0.9622970539002342,True,6
DC,HCK,67,0.8384457649815868,0.99,0.6802200291156769,0.014819893001637604,0.6330086588859558,0.6995768547058105,Evidence at protein level,1.15,0.9545705034315365,True,7
DC,IDO1,67,0.8405381653833277,0.984,0.6629516932964324,0.024087271260570964,0.6266528367996216,0.7108030915260315,Evidence at protein level,1.15,0.9511529879477736,True,8
DC,VMO1,67,0.825493806494811,1.0,0.7289030321836472,0.008023577888204896,0.70953369140625,0.742158830165863,Evidence at protein level,1.15,0.9493178774690325,True,9
DC,FPR1,67,0.8248033143622363,1.0,0.7346392818689347,0.00999215715363277,0.7147302627563477,0.7535260915756226,Evidence at protein level,1.15,0.9485238115165717,True,10
Endothelial,SPARCL1,60,0.9118890190826916,1.0,0.7539749649763108,0.003796109384005867,0.7462887763977051,0.7611160278320312,Evidence at protein level,1.15,1.0486723719450952,True,1
Endothelial,MGP,60,0.9099640107130901,1.0,0.7506442182064056,0.006612129415366499,0.7312191724777222,0.7592604160308838,Evidence at protein level,1.15,1.0464586123200534,True,2
Endothelial,PLVAP,60,0.9090642785403416,1.0,0.7431431591510773,0.008514629420020547,0.7284908294677734,0.7595204710960388,Evidence at protein level,1.15,1.0454239203213926,True,3
Endothelial,COL15A1,60,0.9075159022430532,1.0,0.760832511305809,0.005996647860867954,0.7497311234474182,0.772214412689209,Evidence at protein level,1.15,1.0436432875795112,True,4
Endothelial,RAMP2,60,0.9052770338131905,1.0,0.7493582519292832,0.011817918063527675,0.7044208645820618,0.7734485268592834,Evidence at protein level,1.15,1.041068588885169,True,5
Endothelial,COL4A2,60,0.895631067961165,1.0,0.7277023983001709,0.0051328830112575274,0.717903733253479,0.7368696928024292,Evidence at protein level,1.15,1.0299757281553397,True,6
Endothelial,IGFBP5,60,0.8921367592902578,1.0,0.7334858952760697,0.008011088942296008,0.7133110165596008,0.7456849217414856,Evidence at protein level,1.15,1.0259572731837965,True,7
Endothelial,ESAM,60,0.8885169065952461,1.0,0.7243145277500153,0.009031543649422963,0.7096174359321594,0.7436530590057373,Evidence at protein level,1.15,1.021794442584533,True,8
Endothelial,TM4SF1,60,0.9006528289253432,0.982,0.7226540914773941,0.017991614462567498,0.6893335580825806,0.7422425746917725,Evidence at protein level,1.15,1.01710723970539,True,9
Endothelial,GNG11,60,0.8843321057917644,1.0,0.7063903379440307,0.009344836274346045,0.6902326941490173,0.7235543131828308,Evidence at protein level,1.15,1.016981921660529,True,10
Fibroblasts,COL1A2,60,0.9043563776364245,1.0,0.7527581100463867,0.0059016866691312024,0.7327706217765808,0.7612835168838501,Evidence at protein level,1.15,1.0400098342818882,True,1
Fibroblasts,COL3A1,60,0.9029335453632407,1.0,0.7443533148765564,0.010179070234003067,0.7252247929573059,0.7582951188087463,Evidence at protein level,1.15,1.0383735771677267,True,2
Fibroblasts,LUM,60,0.9017618011382658,1.0,0.7506875882148742,0.00369806654706052,0.7436530590057373,0.7574048042297363,Evidence at protein level,1.15,1.0370260713090056,True,3
Fibroblasts,BGN,60,0.8940617676598593,1.0,0.7455934430360794,0.007022026412655633,0.7258374691009521,0.7544164657592773,Evidence at protein level,1.15,1.0281710328088383,True,4
Fibroblasts,DCN,60,0.892869099430867,1.0,0.7441297594308853,0.008895295622376707,0.7276093363761902,0.7574973702430725,Evidence at protein level,1.15,1.026799464345497,True,5
Fibroblasts,RARRES2,60,0.8927226314027452,1.0,0.7454083223342896,0.006299071801724785,0.7252247929573059,0.7537024021148682,Evidence at protein level,1.15,1.0266310261131568,True,6
Fibroblasts,PTGDS,60,0.8885169065952461,1.0,0.7254679123163223,0.012466067663447412,0.7013222575187683,0.7447108626365662,Evidence at protein level,1.15,1.021794442584533,True,7
Fibroblasts,MGP,60,0.8830975895547372,1.0,0.7372422425746917,0.008687160321967957,0.7146288752555847,0.7517806887626648,Evidence at protein level,1.15,1.0155622279879477,True,8
Fibroblasts,CTHRC1,60,0.8827628054904586,1.0,0.7301248240470887,0.015678870212559395,0.6867639422416687,0.7454161047935486,Evidence at protein level,1.15,1.0151772263140273,True,9
Fibroblasts,IGFBP5,60,0.8825117174422498,1.0,0.7349866012334824,0.006656773255774065,0.71491539478302,0.7448034286499023,Evidence at protein level,1.15,1.0148884750585871,True,10
Malignant,KRT15,60,0.9120354871108136,1.0,0.7608314512968063,0.011013297955764867,0.7416211366653442,0.7768908739089966,Evidence at protein level,1.15,1.0488408101774356,True,1
Malignant,CLDN4,60,0.9092735185805156,1.0,0.7643437950611115,0.0074488853384569184,0.7454822063446045,0.7779486775398254,Evidence at protein level,1.15,1.0456645463675929,True,2
Malignant,S100A7,60,0.9077669902912622,1.0,0.7668321565389633,0.013855313016292243,0.7333083748817444,0.7889721393585205,Evidence at protein level,1.15,1.0439320388349513,True,3
Malignant,LY6D,60,0.9052561098091731,1.0,0.7611142455339431,0.012580524009835496,0.7338372468948364,0.7835904359817505,Evidence at protein level,1.15,1.041044526280549,True,4
Malignant,KRT6B,60,0.8966563441580181,1.0,0.7465990818738938,0.012902779194254829,0.717542290687561,0.7676304578781128,Evidence at protein level,1.15,1.0311547957817206,True,5
Malignant,SLPI,60,0.8961541680616003,1.0,0.7351086027622223,0.009908922046012254,0.7127071619033813,0.7485895752906799,Evidence at protein level,1.15,1.0305772932708404,True,6
Malignant,GPX2,60,0.8933712755272849,1.0,0.7536875886917114,0.011205571209141316,0.72988361120224,0.7738187909126282,Evidence at protein level,1.15,1.0273769668563775,True,7
Malignant,CALML3,60,0.8932038834951457,1.0,0.7465976719856262,0.012728972665018627,0.721875011920929,0.7681593894958496,Evidence at protein level,1.15,1.0271844660194174,True,8
Malignant,FXYD3,60,0.8911742551054569,1.0,0.7345444278717042,0.014916697290936481,0.7063161134719849,0.7646421194076538,Evidence at protein level,1.15,1.0248503933712754,True,9
Malignant,LGALS7B,60,0.885796786072983,1.0,0.7525359658002854,0.016086258242661536,0.720623254776001,0.7818539142608643,Evidence at protein level,1.15,1.0186663039839303,True,10
