repeat,fold,panel,model,n_test,events_test,harrell_c,uno_c,integrated_brier,brier_t365,auc_t365,calibration_intercept_t365,calibration_slope_t365,brier_t1095,auc_t1095,calibration_intercept_t1095,calibration_slope_t1095,brier_t1825,auc_t1825,calibration_intercept_t1825,calibration_slope_t1825
5,3,clinical,survpfn,36,16,0.6076388888888888,0.6628441303214267,0.24331530252521041,0.15225892775226188,0.5722434855140579,-0.792487566392663,0.7002119372270814,0.30918582785282667,0.6847034830419142,0.21691910905735837,1.223460629824918,0.20263062664292644,1.0,,
5,4,clinical,survpfn,36,15,0.4264705882352941,0.7161194126551161,0.34918413948011434,0.22729477122141345,0.4101703276960537,-1.5733560038772647,-0.6105625539369461,0.34940070386368477,0.3015481937359771,-0.47625871407537046,-1.5275328267494608,0.47064037897167427,0.7068599801864344,-0.24337327208931467,0.8814446654066135
6,0,clinical,survpfn,37,15,0.4099616858237548,0.5286639094251946,0.2643171442515243,0.21023158258191682,0.3535759865922105,-1.9607712125484353,-0.8134245357946822,0.32102797406397043,0.4835550076772787,-0.3861329092983493,-0.06349690124118242,0.20498104629623937,1.0,,
6,1,clinical,survpfn,37,15,0.7195467422096318,0.6187733299243352,0.24372673630413397,0.17834253490312718,0.8139431684486639,2.8768448928071275,4.784609576601252,0.2184259157062443,0.3192203701199846,1.9543484029627765,-3.3930963886886354,0.3597125789009201,0.3192203701199846,3.1761288934648024,-3.9056874068237395
6,2,clinical,survpfn,36,16,0.6058631921824105,0.6359962343004775,0.15751517409674148,0.2027707307551985,0.526100984724869,-0.5280811364968829,0.4914616750207609,0.17098904042799473,0.3304557941185649,,,0.08531188477577792,,,
6,3,clinical,survpfn,36,16,0.6363636363636364,0.5742872674936248,0.3117685098905107,0.15453472765641993,0.7251687374577217,-0.2727869976020944,1.2580890695831985,0.46015613778285996,0.4637196410193533,-0.2134152751055538,-0.39636393598421543,0.17222703633990277,,,
6,4,clinical,survpfn,36,15,0.5985401459854015,0.653077547574903,0.19031209494060855,0.16436643137260576,0.579506981788606,-0.4426462054637789,0.7015417820494133,0.20839673833456496,0.7650756480897126,0.5576638267429744,1.5939958361027153,0.18008847172069858,0.7247089961573687,,
7,0,clinical,survpfn,37,15,0.5868852459016394,0.5568379389877387,0.2630466010862877,0.1756454023946576,0.6480326424254481,0.1291827823906786,0.8281268564633673,0.3094322932563561,0.29192472642818756,0.7420537691789941,-2.839086722827877,0.2576764154377811,0.4335828991424685,,
7,1,clinical,survpfn,37,15,0.6327433628318584,0.6072192146076554,0.18707603312174326,0.12843039818601412,0.6161111534929019,-0.9618110007954934,1.117381667308318,0.2425296759648399,0.7045403901437612,-0.03839085340918856,2.564270143151241,0.1348143823712792,,,
7,2,clinical,survpfn,36,16,0.5304347826086957,0.4575563605199622,0.2558090626298427,0.22915076888802755,0.5706026872248611,-0.4719756337891911,0.40431246662480236,0.3393569016215865,0.34968256321612534,0.29331831795217644,-0.9542459806292489,0.11537167838817032,,,
7,3,clinical,survpfn,36,16,0.6755162241887905,0.7183350531458421,0.18571728123079687,0.2073779257639314,0.6780387273527894,0.7602304844398021,1.736854365706884,0.1874599800500103,0.7339499913109437,0.5642343584699883,1.8413441426977029,0.16057123905923543,1.0,,
7,4,clinical,survpfn,36,15,0.6278195488721805,0.6651715896008197,0.23664865858406148,0.15958182625501632,0.5701536462750953,-1.3484501017411714,0.09897373076501877,0.252805761457928,0.5971067138483321,0.5302294452708789,0.29879163895448574,0.28140128516537355,0.7600324354575333,-0.4526656515951737,1.1070684385601126
8,0,clinical,survpfn,37,15,0.6068702290076335,0.5944998977127736,0.1695443041995614,0.14900913777998195,0.6179008812066648,-0.6396786944992643,0.8522245108301327,0.1865084056687319,0.7821070446706894,0.8952305552027431,2.411860959515254,0.1561512676807999,,,
8,1,clinical,survpfn,37,15,0.6666666666666666,0.6226317319204734,0.1709052478099282,0.16150965489906152,0.6661693797485736,0.10926393566158821,1.1625810168193635,0.20285673045530225,0.5646063873521063,,,0.11639787543004669,,,
8,2,clinical,survpfn,36,16,0.46534653465346537,0.5048133460382652,0.4088193915215106,0.17828560737826943,0.5464700694091736,-1.002796962078196,0.2639265765885137,0.5030989699907752,0.2767609213463859,-0.5748240228777409,-0.8976272810712229,0.4507940187262225,0.5362034455163668,0.38581129765956423,-0.06945445418085501
8,3,clinical,survpfn,36,16,0.5236593059936908,0.5646780073089338,0.24905069352028567,0.21123275548805132,0.48551718487848183,-1.2719383228223298,-0.02056341397144907,0.3133119515624967,0.42690154223869026,0.7879707407671582,-0.591771698667135,0.15834611546809796,1.0,,
8,4,clinical,survpfn,36,15,0.6096774193548387,0.6251179528726744,0.23631331937411182,0.213772584924678,0.6112039177514319,-0.4304401261254972,0.4021508718311123,0.25039624102033436,0.6927718104403721,-0.08293280457970506,0.17704022326243243,0.23068821053110047,0.26354833738445466,,
9,0,clinical,survpfn,37,15,0.5454545454545454,0.5306457655745537,0.20171364831845753,0.1659167297804889,0.5138381582927531,-1.5592749803442119,-0.05739912542461131,0.19886555597808397,0.790975489863471,0.6473306423777977,2.102820637199373,0.24320675153717342,0.3972540217752455,,
9,1,clinical,survpfn,37,15,0.6599326599326599,0.5848389408959597,0.16059440635631556,0.17197908527312064,0.6580822014426012,0.14582169312344467,1.2776366010249385,0.17821882460696406,0.48241124172069394,,,0.11396089093821346,,,
9,2,clinical,survpfn,36,16,0.6366782006920415,0.6841777906984294,0.19717523502338613,0.18028261714701765,0.64125249202335,0.8017066291347333,1.3374889956323044,0.20662981004573722,0.6332388337983655,1.0183167245885307,0.5511510268310953,0.19515870285505238,0.9278108846570117,,
9,3,clinical,survpfn,36,16,0.5813253012048193,0.5361717956303848,0.2561750776738208,0.20655514286210738,0.5985677922238295,0.08214341520391516,0.9594813047835536,0.29743612376756445,0.49547743265123606,0.3259052442969199,-0.20757837510712027,0.22327292029804705,0.1286748199272742,,
9,4,clinical,survpfn,36,15,0.5542635658914729,0.4578606987549187,0.34009378966893133,0.16381448815846875,0.628524686840216,-0.7085558310469224,1.0078323971399297,0.5170029341269671,0.44026847006029335,-0.6546919136674172,-0.4389602549703877,0.16255480226332258,1.0,,
